latitude,longitude,energy,wavelength
-10.0,310.0,26.032078284073407,1050.0
-10.0,320.0,71.36136674937939,1050.0
-10.0,330.0,52.7176599740389,1050.0
-10.0,340.0,-12.302152400461624,1050.0
-10.0,350.0,59.58952196313625,1050.0
0.0,0.0,-21.697775620517618,1050.0
0.0,10.0,-32.4658347758571,1050.0
0.0,20.0,2.6484933804262205,1050.0
0.0,30.0,55.759436778755315,1050.0
0.0,40.0,-61.57959971204894,1050.0
0.0,50.0,-31.053085643411478,1050.0
0.0,60.0,-42.15728953258119,1050.0
0.0,70.0,30.264196099784648,1050.0
0.0,80.0,16.015373863084008,1050.0
0.0,90.0,-36.88004459356661,1050.0
0.0,100.0,-0.02578618376129338,1050.0
0.0,110.0,0.010839887045997476,1050.0
0.0,120.0,21.145118232991287,1050.0
0.0,130.0,50.20445938319537,1050.0
0.0,140.0,15.927138767505337,1050.0
0.0,150.0,29.67476053524453,1050.0
0.0,160.0,21.50703960394634,1050.0
0.0,170.0,1.450503249473682,1050.0
0.0,180.0,-13.108502421072657,1050.0
0.0,190.0,49.285198485202066,1050.0
0.0,200.0,6.034525776034464,1050.0
0.0,210.0,1.6169465320601701,1050.0
0.0,220.0,-41.53258832779275,1050.0
0.0,230.0,-0.7021506589678522,1050.0
0.0,240.0,-3.9726456462097,1050.0
0.0,250.0,-1.22244662884557,1050.0
0.0,260.0,20.98791687162604,1050.0
0.0,270.0,15.475198372245595,1050.0
0.0,280.0,-5.365258703090131,1050.0
0.0,290.0,37.409215720644006,1050.0
0.0,300.0,-47.32297621726998,1050.0
0.0,310.0,-27.802457541674052,1050.0
0.0,320.0,27.423812964892306,1050.0
0.0,330.0,5.061357596692995,1050.0
0.0,340.0,25.453973700950264,1050.0
0.0,350.0,21.56518721558632,1050.0
10.0,0.0,-16.247030317425665,1050.0
10.0,10.0,11.489492719191851,1050.0
10.0,20.0,27.925784578041625,1050.0
10.0,30.0,4.619288344757117,1050.0
10.0,40.0,34.01670042265823,1050.0
10.0,50.0,35.32826632608796,1050.0
10.0,60.0,-39.58583298906838,1050.0
10.0,70.0,-49.20365246391839,1050.0
10.0,80.0,-36.52458989267706,1050.0
10.0,90.0,11.253458615595212,1050.0
10.0,100.0,-35.10766059449453,1050.0
10.0,110.0,-38.590099402559105,1050.0
10.0,120.0,16.794453371202028,1050.0
10.0,130.0,-9.495227823396124,1050.0
10.0,140.0,-55.84978975000494,1050.0
10.0,150.0,-4.251310367812245,1050.0
10.0,160.0,-67.74373023774186,1050.0
10.0,170.0,-24.694782991675364,1050.0
10.0,180.0,-36.3321303958883,1050.0
10.0,190.0,-16.777437164358645,1050.0
10.0,200.0,13.40433496768189,1050.0
10.0,210.0,12.025611822327212,1050.0
10.0,220.0,-11.131138154219592,1050.0
10.0,230.0,6.669874640656865,1050.0
10.0,240.0,-27.96730907537495,1050.0
10.0,250.0,-32.73358871518689,1050.0
10.0,260.0,-12.219439919176446,1050.0
10.0,270.0,-58.29172961889308,1050.0
10.0,280.0,2.7082456803907267,1050.0
10.0,290.0,-5.744754750020853,1050.0
10.0,300.0,24.44587987366804,1050.0
10.0,310.0,-57.70608904352177,1050.0
10.0,320.0,-5.713115043729642,1050.0
10.0,330.0,-27.264393530183657,1050.0
10.0,340.0,-31.048645919685434,1050.0
10.0,350.0,55.122895458428246,1050.0
20.0,0.0,-13.186096743036918,1050.0
20.0,10.0,24.62928129195042,1050.0
20.0,20.0,77.3816222191311,1050.0
20.0,30.0,9.647195500170842,1050.0
20.0,40.0,-8.659278993268101,1050.0
20.0,50.0,-20.121086358485815,1050.0
20.0,60.0,38.18261761656173,1050.0
20.0,70.0,-7.4128783642839995,1050.0
20.0,80.0,25.323490635102964,1050.0
20.0,90.0,-32.05374283167203,1050.0
20.0,100.0,94.55160142923808,1050.0
20.0,110.0,39.8791550080489,1050.0
20.0,120.0,-10.444594687986356,1050.0
20.0,130.0,-43.72710978076988,1050.0
20.0,140.0,-0.8328708328977683,1050.0
20.0,150.0,-20.73420173073209,1050.0
20.0,160.0,15.772886958905163,1050.0
20.0,170.0,83.55977685449471,1050.0
20.0,180.0,9.988726024158973,1050.0
20.0,190.0,-11.117167480223305,1050.0
20.0,200.0,-21.364010627382203,1050.0
20.0,210.0,-21.038948016884994,1050.0
20.0,220.0,8.570094263624341,1050.0
20.0,230.0,-25.399191825423564,1050.0
20.0,240.0,6.274175649985667,1050.0
20.0,250.0,-29.78957815202658,1050.0
20.0,260.0,50.21222386948914,1050.0
20.0,270.0,-9.738354429236491,1050.0
20.0,280.0,23.002756045592612,1050.0
20.0,290.0,42.296215012789716,1050.0
20.0,300.0,-54.234001368864455,1050.0
20.0,310.0,42.91815495493046,1050.0
20.0,320.0,-11.668320036353332,1050.0
20.0,330.0,17.64663480171744,1050.0
20.0,340.0,-31.752027549546412,1050.0
20.0,350.0,-47.62810937536413,1050.0
30.0,0.0,-23.700809907255852,1050.0
30.0,10.0,-31.702620463549025,1050.0
30.0,20.0,-30.854904998606564,1050.0
30.0,30.0,41.636231543867126,1050.0
30.0,40.0,56.82770179468643,1050.0
30.0,50.0,-0.8081757083779504,1050.0
30.0,60.0,65.28121145061132,1050.0
30.0,70.0,7.952140531496719,1050.0
30.0,80.0,-12.805918329646342,1050.0
30.0,90.0,63.977973577357304,1050.0
30.0,100.0,35.48284506165048,1050.0
30.0,110.0,-38.74891754866218,1050.0
30.0,120.0,-13.361219765710198,1050.0
30.0,130.0,49.45354464238717,1050.0
30.0,140.0,75.27999987443995,1050.0
30.0,150.0,-35.158347166386335,1050.0
30.0,160.0,28.745977298851482,1050.0
30.0,170.0,53.53548927759665,1050.0
30.0,180.0,19.902878508342834,1050.0
30.0,190.0,-65.20580102396009,1050.0
30.0,200.0,54.327939426065804,1050.0
30.0,210.0,-54.61019637687481,1050.0
30.0,220.0,-13.59402750675688,1050.0
30.0,230.0,-1.8968861924197142,1050.0
30.0,240.0,-13.761048980109635,1050.0
30.0,250.0,-14.038949817880072,1050.0
30.0,260.0,-19.051725389912768,1050.0
30.0,270.0,26.786876516011944,1050.0
30.0,280.0,-4.494725250404873,1050.0
30.0,290.0,38.338902131796736,1050.0
30.0,300.0,15.708875652084288,1050.0
30.0,310.0,15.75799014470461,1050.0
30.0,320.0,1.4438174642838333,1050.0
30.0,330.0,73.01433370303715,1050.0
30.0,340.0,21.31354559998254,1050.0
30.0,350.0,-15.572994249918464,1050.0
40.0,0.0,-1.28852436812992,1050.0
40.0,10.0,11.25922143678864,1050.0
40.0,20.0,-56.87270755648524,1050.0
40.0,30.0,-8.035849993654448,1050.0
40.0,40.0,31.11017218827248,1050.0
40.0,50.0,7.994297154967313,1050.0
40.0,60.0,-0.4417255904331001,1050.0
40.0,70.0,24.690416271461984,1050.0
40.0,80.0,56.74116460060684,1050.0
40.0,90.0,37.51555892280351,1050.0
40.0,100.0,-20.595808127131793,1050.0
40.0,110.0,-51.901918749185114,1050.0
